-16,164
-19,186
-19,208
-16,234
-11,257
-6,282
1,306
9,329
26,349
44,366
66,380
89,390
114,394
139,399
164,398
191,401
216,398
243,394
268,391
293,385
318,378
343,370
366,362
389,349
408,335
426,316
443,297
456,276
468,255
474,231
474,207
474,183
473,157
469,132
464,109
458,83
449,61
439,37
428,15
418,-8
406,-30
394,-51
376,-70
358,-88
334,-99
309,-99
284,-98
258,-93
234,-86
209,-78
184,-72
161,-61
139,-50
116,-38
96,-22
76,-5
58,11
41,31
23,47
4,66
-12,83
-24,103
-26,124
-26,144
