-156,78
-117,67
-76,65
-36,55
4,48
45,41
85,27
123,12
163,-1
202,-11
242,-23
282,-34
320,-47
341,-44
316,-14
289,17
263,48
233,75
204,104
174,133
146,163
126,195
101,228
79,264
55,295
33,318
49,283
60,245
64,205
67,165
72,127
76,87
75,48
70,7
74,-31
81,-70
87,-106
87,-145
86,-182
98,-151
115,-116
137,-82
157,-48
181,-14
202,20
224,53
246,87
271,120
294,152
319,184
344,215
311,214
268,209
227,199
187,188
149,175
111,160
72,143
31,133
-8,123
-47,113
-87,100
-124,84
-156,71
