16,198
6,185
0,176
-2,161
-4,146
0,131
1,116
8,101
13,85
19,72
26,59
34,46
42,33
52,20
60,10
73,1
86,-5
97,-6
110,-6
125,-5
138,-1
151,7
162,12
174,23
185,31
197,42
206,51
218,62
228,72
236,85
244,98
252,111
259,126
263,140
268,153
272,170
272,183
275,200
278,215
280,231
281,244
286,259
288,274
293,289
298,304
304,317
312,330
322,339
333,349
345,358
356,369
366,378
377,388
387,397
399,408
412,417
421,427
433,438
443,447
454,458
465,466
477,477
487,486
496,494
